British,18
French,13
House,8
Army,8
Island,7
Belgium,6
German,6
the British Expeditionary Force,5
Boulogne,4
Calais,4
Dunkirk,4
Amiens,3
Nazi,3
France,3
Belgians,2
Navy,2
King Leopold,2
the Belgian Army,2
Allied,2
the Royal Air Force,2
the Air Force,2
Napoleon,2
Parliament,2
Sedan,1
Meuse,1
The French High Command,1
Belgian Army,1
General Weygand,1
General Gamelin,1
French Army,1
Abbeville,1
German Army,1
Guards,1
The Rifle Brigade,1
Frenchmen,1
Graveline,1
Belgian,1
the French First Army,1
the British Army,1
The King,1
Ruler,1
Allies,1
Poland,1
the German Command,1
the First French Army,1
Air Force,1
the Royal Navy,1
The Royal Air Force,1
the German Air Force,1
German Air Forces,1
Germans,1
Spitfire,1
Crusaders,1
the Board of Trade,1
Andrew Duncan,1
Labour,1
The French Army,1
Herr Hitler,1
Grand Army,1
England,1
Gort,1
Session,1
the United Kingdom,1
Germany,1
Fifth Column,1
Channel,1
Continental,1
The British Empire,1
the French Republic,1
Europe,1
Gestapo,1
Empire,1
the British Fleet,1
the New World,1
